Initials,Event,match kind,#,pos,team,Points,left zone,Amp Auton,Speaker Auton,Amp tele,Speaker tele,times amp,intake,Time to climb,climb,trap,Driver Skill,Defense,Spped,Died,tippy,note drop,alliance partner,comments,
AP,daly,qm,1,b1,8717,1,0,0,0,0,2,0,s,0,x,0,a,x,2,0,0,0,0,Seemed hesitant,
AP,daly,qm,2,b1,3863,13,0,0,0,0,2,0,b,0,p,0,a,x,3,0,0,0,0,Missed many shots,
Jv,daly,qm,2,r1,1710,24,1,0,0,3,3,0,f,3.4,o,0,a,x,4,0,0,0,1,Good amp,
AP,daly,qm,3,b1,5216,25,1,0,1,3,3,0,x,9,h,0,v,x,4,0,0,0,1,,
Jv,daly,qm,3,r1,5534,24,0,0,1,0,3,0,x,2.6,h,0,a,x,3,0,0,0,0,Intake takes a long tim,
AP,daly,qm,4,b1,9400,1,0,0,0,1,3,0,x,0,p,0,x,x,3,0,0,0,0,Took time before shooting into speaker,
ap,daly,qm,4,b2,1574,37,0,0,0,0,7,1,b,0,p,0,v,x,5,0,0,0,1,Speedy,
DS,daly,qm,2,r3,4237,24,1,0,4,0,0,0,s,0,h,0,v,x,4,0,0,0,1,Strategy of tossing notes to alliance side ,
SS,daly,qm,3,r3,4593,36,1,0,1,3,0,0,f,0,h,0,a,x,3,0,0,0,0,Only scored for amp,
SS,daly,qm,4,r3,7501,24,1,4,0,0,3,0,f,0,h,0,a,x,4,0,0,0,1,,
ap,daly,qm,5,b2,7102,13,1,0,1,0,4,1,b,3.8,s,0,a,x,4,0,0,0,0,Mid,
AP,daly,qm,5,b1,8085,13,1,0,1,4,2,2,b,5.7,s,1,v,x,4,0,0,0,1,,
Jv,daly,qm,4,r1,27,12,1,0,2,6,2,1,f,2.1,h,0,v,x,4,0,0,0,1,Good at amp,
SS,daly,qm,5,r3,8153,60,1,0,0,0,0,0,x,0,x,0,n,x,2,0,0,1,0,Had trouble driving efficiently ,
ap,daly,qm,6,b2,3184,25,1,0,1,0,2,0,b,0,o,0,a,x,5,0,0,1,1,Trash,
SS,daly,qm,6,r3,2052,24,0,0,2,2,0,0,f,0,s,0,a,x,3,0,0,0,1,,
AP,daly,qm,6,b1,1700,13,0,0,0,1,0,0,x,0,x,0,x,x,3,0,0,0,0,Stayed doing nothing for a while,
ap,daly,qm,7,b2,2869,25,0,0,3,7,2,0,f,4.4,p,0,a,x,5,0,0,0,1,Yay!,
AP,daly,qm,7,b1,9501,13,0,0,0,2,2,0,x,5.9,o,0,x,x,3,0,0,0,0,Not consistent ,
ap,daly,qm,8,b2,910,13,1,0,2,7,2,0,f,0,a,0,a,x,5,0,0,0,1,Good amp,
AP,Houstan,qm,8,b1,694,25,1,0,0,6,5,1,x,5.3,h,0,v,x,5,0,0,0,1,Missed trap,
AP,Houstan,qm,9,b1,1506,37,1,0,2,0,7,0,x,5.8,p,0,v,x,5,0,0,0,1,Climbed but did not climb fully,
Jv,Worlds ,qm,10,r1,9405,36,0,0,0,0,0,0,x,0,p,0,x,b,3,0,0,0,0,Kit bot ,
ap,Worlds ,f,9,b2,4403,13,0,0,2,0,4,0,b,0,h,1,v,x,5,0,0,0,1,Slayed,
AR,Worlds Daly,qm,3,b3,6911,1,1,0,2,0,0,0,f,0,o,0,a,e,3,0,0,0,1,Powerful shooter,
AR,Worlds Daly,qm,4,b3,4795,25,1,0,2,6,2,1,f,0,p,0,v,x,5,0,0,0,1,Shooter so powerful that notes bounce out,
AR,Worlds Daly,qm,5,b3,9427,49,1,0,0,0,0,0,x,4.6,h,0,n,x,1,1,0,0,0,Didn�t rly move all match,
AR,Worlds Daly,qm,6,b3,6989,25,1,0,1,0,3,0,f,0,p,0,a,x,4,0,0,1,0,Try and failed amp twice,
AR,Worlds Daly,qm,7,b3,148,37,1,1,0,0,2,3,f,0,o,1,v,x,3,0,0,0,1,Lobbed for first half,
AR,Worlds Daly,qm,8,b3,1690,13,1,0,4,1,5,1,x,4,x,0,v,x,5,0,0,0,1,Dynamic note detection ,
AR,Worlds Daly,qm,9,b3,2813,13,0,0,1,0,0,0,f,0,x,0,x,x,3,0,0,0,0,Only lobbed couldn�t score ,
AR,Worlds Daly,qm,10,b3,2811,37,1,0,2,5,1,3,x,1.5,o,1,a,x,3,0,0,0,0,"Good amp, but doesn�t cover our weaknesses",
AP,Houstan,qm,10,b1,9624,13,0,0,1,0,5,0,b,9.5,s,0,a,x,4,0,0,0,0,Maybe good partner,
ap,worlds,f,11,r2,649,36,1,0,1,0,0,0,b,0,x,0,a,x,3,0,0,0,0,Trash,
H.h,Worlds,qm,11,b2,4522,25,1,0,2,2,5,1,b,0,o,1,v,x,4,0,0,0,1,,
AK,Houston ,qm,11,b3,9659,13,0,0,1,0,0,2,s,1.3,o,0,a,a,4,0,0,0,1,Fed alliance partners notes ,
NF,2023tnkn,qm,11,r3,8338,24,0,0,1,0,0,0,x,8.3,o,0,n,a,1,0,0,0,0,idk what was going on w them. Bad driving,
ZC,Worlds,qm,11,r1,7157,24,1,0,3,0,5,0,f,4.1,h,0,v,x,4,0,0,0,1,"Excelled at speaker, but failed all amp attempts (~5)",
A.A,2023tnkn,qm,11,b1,4135,37,0,0,0,3,1,0,b,13.6,o,1,a,x,4,0,0,0,0,"note stuck inside robot, couldn�t pick up notes past 45",
ap,worlds,qm,12,r2,4028,36,1,0,1,5,2,1,b,0,p,0,a,x,4,0,0,0,0,Good,
A.A,2023tnkn,qm,12,b1,1108,1,0,0,2,7,3,0,b,8.1,o,1,v,x,5,0,0,1,1,,
ZC,2023tnkn,qm,12,r1,980,24,0,0,0,0,1,1,f,0,o,0,a,a,3,0,0,0,0,passed notes entire match,
Hm,Houston ,qm,8,r2,103,36,1,0,2,0,4,0,x,3.7,o,0,n,x,2,0,0,0,0,,
NF,2023tnkn,qm,12,r3,7451,48,1,0,0,3,2,0,b,1.8,x,0,a,x,4,1,0,0,0,disconnected for 45 sec in the middle then reconnected,
